Class,GO_Name,GO_ID,GO_Level,P_value,EnrichmentScore,HitsGenesCountsInSelectedSet,HitsGenesCountsInBackground,AllGenesCountsInSelectedSet,AllGenesCountsInBackground,GenesOfSelectedSetInGOterm,padj_BH
Molecular function,structural constituent of chitin-based cuticle,GO:0005214,4,2.22E-16,14.25876011,20,42,159,4761,"TOC.2T.01430,TOC.2T.01424,TOC.2T.01425,TOC.3T.01526,TOC.4T.00713,TOC.4T.00702,TOC.3T.01490,TOC.3T.01492,TOC.8T.00564,TOC.8T.00558,TOC.8T.00552,TOC.7T.01336,TOC.8T.00571,TOC.2T.01395,TOC.4T.01356,TOC.4T.01332,TOC.7T.01315,TOC.1T.00781,TOC.2T.01972,TOC.6T.00964,",8.88E-14
Molecular function,structural constituent of cuticle,GO:0042302,3,2.22E-16,14.25876011,20,42,159,4761,"TOC.2T.01430,TOC.2T.01424,TOC.2T.01425,TOC.3T.01526,TOC.4T.00713,TOC.4T.00702,TOC.3T.01490,TOC.3T.01492,TOC.8T.00564,TOC.8T.00558,TOC.8T.00552,TOC.7T.01336,TOC.8T.00571,TOC.2T.01395,TOC.4T.01356,TOC.4T.01332,TOC.7T.01315,TOC.1T.00781,TOC.2T.01972,TOC.6T.00964,",8.88E-14
Molecular function,structural constituent of chitin-based larval cuticle,GO:0008010,5,2.22E-16,14.56705762,18,37,159,4761,"TOC.2T.01430,TOC.2T.01424,TOC.2T.01425,TOC.3T.01526,TOC.4T.00713,TOC.4T.00702,TOC.3T.01490,TOC.3T.01492,TOC.8T.00564,TOC.8T.00558,TOC.8T.00552,TOC.7T.01336,TOC.8T.00571,TOC.2T.01395,TOC.4T.01356,TOC.7T.01315,TOC.2T.01972,TOC.6T.00964,",8.88E-14
Molecular function,"hydrolase activity, acting on glycosyl bonds",GO:0016798,4,1.39E-05,4.381960423,12,82,159,4761,"TOC.5T.00142,TOC.6T.00416,TOC.1T.01583,TOC.7T.00087,TOC.5T.00282,TOC.7T.00613,TOC.7T.00614,TOC.2T.01765,TOC.1T.02376,TOC.1T.02377,TOC.3T.00053,TOC.3T.02204,",0.001388642
Molecular function,oxidoreductase activity,GO:0016491,3,2.89E-05,2.46110106,24,292,159,4761,"TOC.4T.00080,TOC.5T.00581,TOC.5T.00582,TOC.2T.02323,TOC.5T.01681,TOC.8T.00537,TOC.4T.00655,TOC.4T.00879,TOC.9T.00430,TOC.7T.01189,TOC.8T.01039,TOC.4T.00698,TOC.5T.01350,TOC.7T.00624,TOC.5T.01338,TOC.5T.01341,TOC.5T.01342,TOC.7T.00467,TOC.5T.00813,TOC.4T.00141,TOC.3T.00469,TOC.3T.00482,TOC.5T.00411,TOC.1T.00906,",0.002311255
Molecular function,"hydrolase activity, hydrolyzing O-glycosyl compounds",GO:0004553,5,3.14E-05,4.391698113,11,75,159,4761,"TOC.5T.00142,TOC.6T.00416,TOC.1T.01583,TOC.7T.00087,TOC.5T.00282,TOC.7T.00613,TOC.7T.00614,TOC.2T.01765,TOC.1T.02376,TOC.1T.02377,TOC.3T.00053,",0.002096228
Molecular function,monooxygenase activity,GO:0004497,4,1.32E-04,7.186415094,6,25,159,4761,"TOC.5T.00581,TOC.5T.00582,TOC.5T.01681,TOC.4T.00655,TOC.8T.01039,TOC.5T.00813,",0.007540805
Molecular function,chitin binding,GO:0008061,4,2.35E-04,8.317610063,5,18,159,4761,"TOC.7T.00613,TOC.7T.00614,TOC.3T.00053,TOC.2T.01027,TOC.2T.01046,",0.011744584
Molecular function,serine-type peptidase activity,GO:0008236,5,2.98E-04,4.083190395,9,66,159,4761,"TOC.8T.00640,TOC.1T.00609,TOC.4T.01020,TOC.2T.00883,TOC.2T.00886,TOC.5T.00854,TOC.5T.00697,TOC.5T.01754,TOC.5T.01749,",0.013240954
Molecular function,serine hydrolase activity,GO:0017171,4,3.75E-04,3.963096559,9,68,159,4761,"TOC.8T.00640,TOC.1T.00609,TOC.4T.01020,TOC.2T.00883,TOC.2T.00886,TOC.5T.00854,TOC.5T.00697,TOC.5T.01754,TOC.5T.01749,",0.012487458
